CID,BDATE,GEN
NASAW00011159,11/22/1992,Female
NASAW00011160,10/16/1996,Male
NASAW00011161,12/5/2001,Female
NASAW00011162,6/5/1984,Male
NASAW00011163,10/4/1988,Male
NASAW00011164,11/22/1998,Male
NASAW00011165,4/20/1987,Female
NASAW00011166,11/16/1980,Female
NASAW00011167,3/27/1979,Female
NASAW00011168,10/30/1979,Male
NASAW00011169,5/5/1990,Male
NASAW00011170,7/2/1975,Female
NASAW00011171,9/29/1976,Male
NASAW00011172,5/26/1976,Female
NASAW00011173,11/3/1997,Female
NASAW00011174,5/10/1995,Male
NASAW00011175,10/2/1991,Male
NASAW00011176,7/8/1989,Male
NASAW00011177,4/15/1994,Male
NASAW00011178,2/18/1996,Male
NASAW00011179,4/23/2004,Female
NASAW00011180,5/23/1983,Female
NASAW00011181,4/9/1984,Male
NASAW00011182,6/20/2002,Female
NASAW00011183,12/29/1983,Female
NASAW00011184,9/13/1987,Female
NASAW00011185,10/19/2004,Female
NASAW00011186,3/6/2001,Female
NASAW00011187,3/9/1993,Female
NASAW00011188,3/23/1979,Female
NASAW00011189,4/11/1984,Male
NASAW00011190,1/1/1976,Male
NASAW00011191,6/20/1981,Female
NASAW00011192,10/21/1985,Male
NASAW00011193,9/11/2004,Male
NASAW00011194,1/10/2000,Female
NASAW00011195,3/20/1988,Female
NASAW00011196,11/13/2002,Male
NASAW00011197,11/18/1988,Female
NASAW00011198,11/27/1977,Female
NASAW00011199,8/10/1991,Female
NASAW00011200,7/19/1986,Male
NASAW00011201,5/3/1999,Female
NASAW00011202,6/17/1993,Female
NASAW00011203,9/28/1981,Male
NASAW00011204,1/1/1979,Female
NASAW00011205,5/21/1977,Female
NASAW00011206,8/30/1980,Male
NASAW00011207,3/8/1986,Female
NASAW00011208,12/13/1986,Female
NASAW00011209,10/31/1997,Female
NASAW00011210,2/24/1983,Male
NASAW00011211,2/1/1982,Female
NASAW00011212,1/23/1986,Female
NASAW00011213,8/29/1993,Female
NASAW00011214,7/26/1981,Male
NASAW00011215,5/22/1981,Female
NASAW00011216,4/6/1980,Female
NASAW00011217,3/16/1995,Female
NASAW00011218,12/23/1984,Female
NASAW00011219,3/29/1989,Male
NASAW00011220,7/20/1997,Female
NASAW00011221,11/1/1977,Male
NASAW00011222,9/30/1982,Female
NASAW00011223,3/29/1988,Female
NASAW00011224,11/22/1991,Female
NASAW00011225,12/2/2003,Female
NASAW00011226,10/31/1981,Female
NASAW00011227,11/22/2004,Male
NASAW00011228,10/16/1983,Female
NASAW00011229,9/23/1993,Male
NASAW00011230,1/14/1988,Female
NASAW00011231,7/21/1994,Male
NASAW00011232,2/7/2004,Female
NASAW00011233,12/13/1993,Male
NASAW00011234,1/18/1981,Female
NASAW00011235,4/14/1983,Male
NASAW00011236,1/11/1975,Male
NASAW00011237,9/12/1983,Male
NASAW00011238,5/27/1978,Female
NASAW00011239,1/26/1982,Female
NASAW00011240,11/21/2002,Female
NASAW00011241,9/3/1978,Female
NASAW00011242,10/16/1978,Male
NASAW00011243,6/2/1985,Female
NASAW00011244,2/25/1984,Female
NASAW00011245,2/24/1979,Male
NASAW00011246,2/13/1992,Female
NASAW00011247,1/18/1995,Female
NASAW00011248,12/14/1984,Male
NASAW00011249,6/24/1976,Female
NASAW00011250,7/23/1975,Female
NASAW00011251,11/23/2004,Male
NASAW00011252,8/27/1982,Male
NASAW00011253,4/19/1979,Male
NASAW00011254,3/11/2003,Male
NASAW00011255,3/30/2001,Male
NASAW00011256,12/6/1995,Female
NASAW00011257,1/27/2004,Female
NASAW00011258,12/2/1983,Male
NASAW00011259,11/11/1984,Female
NASAW00011260,3/10/1990,Female
NASAW00011261,12/25/2001,Female
NASAW00011262,2/5/1988,Female
NASAW00011263,9/26/1987,Female
NASAW00011264,11/14/1992,Male
NASAW00011265,8/21/1981,Female
NASAW00011266,4/9/1985,Female
NASAW00011267,7/3/1975,Male
NASAW00011268,2/9/1981,Female
NASAW00011269,8/19/1987,Male
NASAW00011270,1/14/1993,Male
NASAW00011271,10/8/1988,Female
NASAW00011272,6/19/1975,Female
NASAW00011273,6/8/1999,Male
NASAW00011274,4/3/1986,Male
NASAW00011275,11/28/1992,Female
NASAW00011276,5/16/1975,Female
NASAW00011277,4/3/1979,Male
NASAW00011278,6/25/1976,Male
NASAW00011279,3/8/1989,Female
NASAW00011280,8/27/1982,Male
NASAW00011281,6/6/1987,Female
NASAW00011282,9/20/1976,Male
NASAW00011283,11/13/1985,Male
NASAW00011284,6/24/1995,Female
NASAW00011285,3/8/1980,Male
NASAW00011286,5/6/1990,Male
NASAW00011287,3/1/1992,Male
NASAW00011288,8/6/1985,Female
NASAW00011289,7/25/1992,Female
NASAW00011290,12/4/1992,Female
NASAW00011291,3/3/1987,Female
NASAW00011292,2/25/1999,Male
NASAW00011293,8/18/1976,Male
NASAW00011294,8/11/1985,Male
NASAW00011295,6/25/1984,Female
NASAW00011296,8/23/1980,Female
NASAW00011297,5/28/1999,Male
NASAW00011298,7/3/1984,Male
NASAW00011299,6/2/1994,Male
NASAW00011300,9/26/2000,Male
NASAW00011301,12/21/1995,Male
NASAW00011302,4/1/2002,Male
NASAW00011303,2/4/1985,Female
NASAW00011304,4/4/2001,Female
NASAW00011305,2/7/1997,Male
NASAW00011306,10/10/1976,Male
NASAW00011307,12/28/1998,Male
NASAW00011308,9/11/1999,Male
NASAW00011309,1/15/1975,Female
NASAW00011310,1/30/1985,Female
NASAW00011311,8/28/1984,Female
NASAW00011312,7/21/1986,Female
NASAW00011313,4/26/1976,Male
NASAW00011314,5/19/1979,Female
NASAW00011315,4/27/2001,Female
NASAW00011316,9/17/1984,Male
NASAW00011317,9/23/1988,Female
NASAW00011318,2/25/1990,Female
NASAW00011319,8/17/1996,Female
NASAW00011320,12/15/1999,Female
NASAW00011321,11/12/1997,Male
NASAW00011322,6/11/1987,Female
NASAW00011323,4/9/1979,Male
NASAW00011324,11/24/2003,Male
NASAW00011325,10/18/1975,Male
NASAW00011326,11/11/1976,Male
NASAW00011327,11/12/2003,Male
NASAW00011328,9/28/1990,Male
NASAW00011329,12/11/1998,Male
NASAW00011330,11/1/1993,Male
NASAW00011331,12/5/1982,Female
NASAW00011332,2/18/1993,Female
NASAW00011333,6/1/1979,Female
NASAW00011334,10/6/1983,Female
NASAW00011335,4/8/1990,Female
NASAW00011336,6/10/1992,Male
NASAW00011337,3/11/1996,Male
NASAW00011338,10/21/1981,Male
NASAW00011339,3/1/1978,Male
NASAW00011340,2/17/1998,Female
NASAW00011341,2/24/2000,Male
NASAW00011342,12/27/1990,Male
NASAW00011343,10/18/1986,Male
NASAW00011344,3/2/1989,Female
NASAW00011345,6/20/1982,Female
NASAW00011346,3/15/2002,Female
NASAW00011347,7/4/2001,Male
NASAW00011348,7/27/1986,Male
NASAW00011349,10/1/1980,Female
NASAW00011350,9/23/1981,Female
NASAW00011351,2/8/1987,Female
NASAW00011352,2/20/1986,Male
NASAW00011353,11/19/1990,Female
NASAW00011354,4/29/1998,Female
NASAW00011355,2/9/1979,Male
NASAW00011356,12/20/1995,Male
NASAW00011357,9/8/1999,Male
NASAW00011358,5/23/1978,Female
NASAW00011359,9/30/1988,Male
NASAW00011360,1/8/1979,Male
NASAW00011361,5/12/1980,Female
NASAW00011362,8/27/1990,Male
NASAW00011363,2/3/1976,Male
NASAW00011364,9/19/1981,Female
NASAW00011365,5/2/1995,Female
NASAW00011366,4/7/1982,Female
NASAW00011367,2/12/1992,Male
NASAW00011368,12/8/1988,Male
NASAW00011369,9/22/1998,Female
NASAW00011370,9/30/1977,Female
NASAW00011371,2/17/2004,Female
NASAW00011372,8/18/1980,Female
NASAW00011373,3/14/1998,Female
NASAW00011374,11/6/1988,Male
NASAW00011375,9/2/2001,Male
NASAW00011376,8/11/1998,Male
NASAW00011377,7/16/1978,Male
NASAW00011378,9/12/1995,Female
NASAW00011379,10/14/2002,Male
NASAW00011380,6/4/1982,Male
NASAW00011381,7/23/1991,Female
NASAW00011382,7/7/2004,Male
NASAW00011383,3/9/1984,Female
NASAW00011384,11/9/2003,Female
NASAW00011385,7/1/1996,Male
NASAW00011386,10/21/1999,Female
NASAW00011387,9/8/2004,Female
NASAW00011388,1/12/1976,Male
NASAW00011389,3/11/1999,Male
NASAW00011390,11/9/1980,Female
NASAW00011391,1/1/1997,Female
NASAW00011392,4/15/1997,Male
NASAW00011393,2/7/2001,Male
NASAW00011394,8/29/1984,Male
NASAW00011395,1/28/1985,Female
NASAW00011396,10/22/1994,Male
NASAW00011397,1/20/1999,Female
NASAW00011398,3/29/1980,Male
NASAW00011399,1/14/1978,Female
NASAW00011400,4/7/1999,Male
NASAW00011401,12/6/2004,Female
NASAW00011402,1/14/1985,Female
NASAW00011403,4/15/1977,Female
NASAW00011404,7/19/1977,Female
NASAW00011405,5/24/1977,Female
NASAW00011406,11/21/2000,Female
NASAW00011407,7/8/1999,Male
NASAW00011408,9/15/2004,Male
NASAW00011409,4/9/1980,Female
NASAW00011410,9/7/2000,Male
NASAW00011411,11/28/1992,Male
NASAW00011412,7/22/1988,Female
NASAW00011413,1/8/1982,Female
NASAW00011414,1/28/1993,Male
NASAW00011415,3/20/1976,Male
NASAW00011416,4/1/1978,Female
NASAW00011417,4/30/1990,Female
NASAW00011418,9/25/1991,Male
NASAW00011419,10/31/1994,Male
NASAW00011420,11/20/1975,Male
NASAW00011421,8/27/1998,Female
NASAW00011422,8/3/1983,Male
NASAW00011423,7/6/1998,Female
NASAW00011424,2/26/1988,Female
NASAW00011425,10/15/2003,Female
NASAW00011426,11/15/1975,Male
NASAW00011427,5/5/1982,Female
NASAW00011428,8/18/1994,Female
NASAW00011429,4/21/1993,Male
NASAW00011430,8/25/1992,Female
NASAW00011431,1/2/1980,Male
NASAW00011432,9/25/2001,Female
NASAW00011433,10/14/1993,Male
NASAW00011434,9/24/1986,Male
NASAW00011435,6/13/1990,Female
NASAW00011436,4/13/1976,Female
NASAW00011437,10/28/1988,Male
NASAW00011438,1/5/1976,Female
NASAW00011439,5/15/1975,Female
NASAW00011440,3/15/1976,Male
NASAW00011441,10/2/2001,Female
NASAW00011442,2/23/1993,Male
NASAW00011443,10/17/1991,Female
NASAW00011444,5/23/1993,Female
NASAW00011445,9/24/1986,Female
NASAW00011446,8/22/1990,Female
NASAW00011447,3/9/1998,Female
NASAW00011448,2/25/1993,Male
NASAW00011449,10/20/2004,Male
NASAW00011450,12/25/1991,Male
NASAW00011451,7/17/1998,Male
NASAW00011452,6/3/1983,Female
NASAW00011453,12/2/1975,Male
NASAW00011454,2/15/1987,Female
NASAW00011455,12/27/1977,Male
NASAW00011456,11/5/1999,Male
NASAW00011457,11/27/1990,Female
NASAW00011458,8/31/1981,Female
NASAW00011459,10/28/1982,Female
NASAW00011460,9/5/1997,Male
NASAW00011461,8/11/1997,Male
NASAW00011462,2/26/1993,Female
NASAW00011463,9/2/1981,Female
NASAW00011464,5/31/1980,Male
NASAW00011465,10/24/1978,Male
NASAW00011466,2/22/1995,Male
NASAW00011467,9/21/2004,Male
NASAW00011468,12/8/1990,Female
NASAW00011469,9/10/1981,Male
NASAW00011470,8/16/1992,Male
NASAW00011471,6/24/1984,Female
NASAW00011472,1/24/1987,Male
NASAW00011473,8/27/1976,Female
NASAW00011474,12/28/1977,Male
NASAW00011475,8/16/1989,Male
NASAW00011476,6/12/1992,Female
NASAW00011477,5/12/1985,Male
NASAW00011478,11/7/1991,Male
NASAW00011479,3/20/1984,Male
NASAW00011480,5/20/1990,Female
NASAW00011481,6/22/1988,Female
NASAW00011482,10/16/1981,Female
NASAW00011483,1/28/1980,Male
NASAW00011484,10/25/1985,Male
NASAW00011485,11/27/1994,Male
NASAW00011486,2/8/1981,Female
NASAW00011487,8/19/2002,Female
NASAW00011488,9/1/2003,Male
NASAW00011489,6/26/1975,Female
NASAW00011490,9/28/1989,Male
NASAW00011491,2/13/1975,Male
NASAW00011492,2/27/1997,Male
NASAW00011493,7/15/1987,Female
NASAW00011494,1/3/1977,Male
NASAW00011495,5/13/1980,Male
NASAW00011496,7/12/1996,Male
NASAW00011497,11/28/1976,Female
NASAW00011498,8/7/2002,Male
NASAW00011499,8/20/1984,Male
NASAW00011500,12/30/1993,Female
NASAW00011501,10/11/1981,Female
NASAW00011502,5/22/1991,Male
NASAW00011503,11/25/2001,Male
NASAW00011504,8/1/1988,Female
NASAW00011505,1/16/1986,Female
NASAW00011506,8/16/1979,Male
NASAW00011507,8/7/2002,Female
NASAW00011508,5/8/1976,Female
NASAW00011509,7/3/1986,Female
NASAW00011510,5/15/1987,Male
NASAW00011511,6/12/1994,Male
NASAW00011512,3/5/2002,Female
NASAW00011513,12/22/2003,Female
NASAW00011514,2/13/1986,Male
NASAW00011515,1/27/2002,Female
NASAW00011516,3/7/1995,Female
NASAW00011517,1/28/2004,Female
NASAW00011518,1/12/2003,Male
NASAW00011519,11/22/1985,Male
NASAW00011520,5/24/2003,Female
NASAW00011521,6/5/1989,Female
NASAW00011522,9/25/1998,Male
NASAW00011523,2/3/1976,Male
NASAW00011524,10/16/2003,Female
NASAW00011525,11/17/1989,Female
NASAW00011526,8/16/1998,Female
NASAW00011527,9/8/1989,Female
NASAW00011528,4/26/1979,Female
NASAW00011529,8/12/1991,Male
NASAW00011530,5/18/1975,Male
NASAW00011531,1/13/1978,Female
NASAW00011532,2/3/1992,Female
NASAW00011533,7/3/1999,Female
NASAW00011534,10/20/1986,Male
NASAW00011535,6/24/1976,Male
NASAW00011536,3/29/1988,Male
NASAW00011537,10/22/1999,Male
NASAW00011538,9/20/1998,Female
NASAW00011539,5/11/2002,Male
NASAW00011540,9/12/1985,Male
NASAW00011541,11/4/2000,Male
NASAW00011542,1/17/2002,Male
NASAW00011543,3/27/1996,Female
NASAW00011544,12/26/1977,Male
NASAW00011545,12/18/1985,Male
NASAW00011546,5/7/1994,Female
NASAW00011547,1/6/1985,Female
NASAW00011548,1/27/2003,Male
NASAW00011549,12/1/1976,Female
NASAW00011550,6/10/2000,Female
NASAW00011551,5/18/2002,Male
NASAW00011552,9/4/1980,Male
NASAW00011553,11/23/2001,Female
NASAW00011554,8/13/1986,Female
NASAW00011555,11/17/1981,Female
NASAW00011556,5/4/1997,Male
NASAW00011557,9/3/2001,Female
NASAW00011558,12/8/1985,Male
NASAW00011559,4/11/1994,Male
NASAW00011560,12/18/1995,Female
NASAW00011561,10/12/1978,Female
NASAW00011562,1/31/1998,Male
NASAW00011563,1/23/1996,Male
NASAW00011564,1/27/1975,Male
NASAW00011565,10/28/1991,Male
NASAW00011566,3/23/1990,Female
NASAW00011567,6/10/1984,Female
NASAW00011568,2/12/1990,Female
NASAW00011569,12/25/1999,Male
NASAW00011570,3/7/1998,Female
NASAW00011571,7/25/1990,Male
NASAW00011572,8/27/1999,Male
NASAW00011573,10/18/1994,Female
NASAW00011574,11/24/2003,Female
NASAW00011575,12/16/1984,Male
NASAW00011576,5/13/2001,Male
NASAW00011577,7/3/1985,Female
NASAW00011578,5/25/1980,Female
NASAW00011579,12/11/1976,Male
NASAW00011580,7/23/1982,Male
NASAW00011581,2/19/1988,Female
NASAW00011582,12/27/1979,Female
NASAW00011583,6/24/1997,Female
NASAW00011584,10/9/1980,Male
NASAW00011585,9/30/2003,Female
NASAW00011586,7/6/2004,Male
NASAW00011587,6/26/1994,Male
NASAW00011588,10/2/1989,Female
NASAW00011589,2/16/1998,Female
NASAW00011590,5/14/1996,Female
NASAW00011591,7/2/1978,Female
NASAW00011592,4/30/1976,Male
NASAW00011593,1/24/1999,Male
NASAW00011594,5/2/2002,Male
NASAW00011595,11/26/2002,Male
NASAW00011596,2/23/1981,Male
NASAW00011597,3/18/2000,Female
NASAW00011598,8/13/2004,Female
NASAW00011599,6/1/1978,Female
NASAW00011600,4/12/2002,Female
NASAW00011601,12/20/1989,Male
NASAW00011602,10/23/1996,Male
NASAW00011603,3/4/1987,Male
NASAW00011604,12/29/1996,Male
NASAW00011605,3/6/1987,Female
NASAW00011606,8/21/1996,Female
NASAW00011607,11/9/1996,Male
NASAW00011608,3/27/1993,Male
NASAW00011609,1/10/1988,Male
NASAW00011610,9/24/2002,Male
NASAW00011611,8/14/1988,Male
NASAW00011612,1/25/1976,Male
NASAW00011613,3/1/2001,Female
NASAW00011614,5/14/1990,Female
NASAW00011615,2/14/1982,Male
NASAW00011616,4/12/1993,Female
NASAW00011617,10/2/1996,Male
NASAW00011618,10/25/2002,Male
NASAW00011619,3/11/1980,Female
NASAW00011620,8/14/1999,Female
NASAW00011621,7/12/2001,Female
NASAW00011622,8/21/2001,Male
NASAW00011623,5/1/1989,Female
NASAW00011624,12/17/2002,Male
NASAW00011625,7/27/2002,Male
NASAW00011626,9/26/1984,Female
NASAW00011627,7/7/1995,Male
NASAW00011628,11/17/1992,Female
NASAW00011629,3/25/1988,Male
NASAW00011630,3/30/2004,Female
NASAW00011631,8/7/1991,Male
NASAW00011632,5/22/1998,Female
NASAW00011633,4/16/1986,Male
NASAW00011634,2/19/1994,Male
NASAW00011635,6/4/1987,Male
NASAW00011636,8/23/1983,Female
NASAW00011637,8/23/1982,Female
NASAW00011638,10/4/1986,Male
NASAW00011639,5/29/1982,Female
NASAW00011640,3/15/2002,Female
NASAW00011641,6/9/1985,Male
NASAW00011642,8/18/1992,Female
NASAW00011643,11/7/2004,Female
NASAW00011644,3/23/1975,Male
NASAW00011645,3/9/1986,Female
NASAW00011646,12/6/1985,Female
NASAW00011647,7/6/1985,Male
NASAW00011648,1/19/1993,Male
NASAW00011649,11/20/1995,Male
NASAW00011650,11/15/2000,Male
NASAW00011651,10/21/1996,Female
NASAW00011652,6/1/2004,Male
NASAW00011653,8/29/1979,Female
NASAW00011654,2/9/1986,Female
NASAW00011655,8/4/1983,Female
NASAW00011656,2/21/1999,Female
NASAW00011657,12/11/1985,Female
NASAW00011658,7/20/1998,Male
NASAW00011659,5/4/1997,Male
NASAW00011660,10/1/1981,Female
NASAW00011661,5/8/1994,Male
NASAW00011662,2/21/2004,Male
NASAW00011663,9/3/1995,Male
NASAW00011664,5/6/1980,Female
NASAW00011665,12/27/1981,Female
NASAW00011666,8/18/2004,Male
NASAW00011667,8/27/1991,Male
NASAW00011668,9/8/1982,Female
NASAW00011669,3/29/1989,Female
NASAW00011670,2/14/1996,Female
NASAW00011671,1/25/1988,Female
NASAW00011672,9/7/1987,Male
NASAW00011673,9/25/1993,Female
NASAW00011674,1/24/2002,Female
NASAW00011675,2/17/2001,Male
NASAW00011676,5/23/1998,Male
NASAW00011677,6/27/1987,Male
NASAW00011678,8/26/1979,Male
NASAW00011679,9/13/1986,Male
NASAW00011680,1/13/1981,Female
NASAW00011681,9/26/1986,Female
NASAW00011682,11/26/1998,Female
NASAW00011683,1/12/2000,Male
NASAW00011684,1/9/1975,Male
NASAW00011685,4/22/1980,Male
NASAW00011686,4/6/1995,Male
NASAW00011687,8/12/1984,Male
NASAW00011688,5/21/1990,Female
NASAW00011689,3/13/1999,Male
NASAW00011690,5/26/2004,Female
NASAW00011691,11/27/1998,Female
NASAW00011692,10/27/1998,Male
NASAW00011693,7/21/1981,Female
NASAW00011694,5/10/1987,Male
NASAW00011695,8/31/1998,Male
NASAW00011696,2/3/1984,Female
NASAW00011697,6/4/1976,Male
NASAW00011698,5/29/1987,Male
NASAW00011699,1/2/1994,Male
NASAW00011700,12/19/2002,Male
NASAW00011701,3/23/1994,Male
NASAW00011702,6/5/1999,Female
NASAW00011703,10/8/1984,Female
NASAW00011704,11/15/1989,Male
NASAW00011705,5/13/1994,Female
NASAW00011706,2/11/1992,Male
NASAW00011707,12/3/1979,Female
NASAW00011708,1/28/1978,Female
NASAW00011709,10/1/1980,Female
NASAW00011710,1/23/1981,Female
NASAW00011711,4/11/2000,Male
NASAW00011712,2/18/1982,Female
NASAW00011713,7/7/1998,Male
NASAW00011714,11/25/2003,Female
NASAW00011715,11/14/1984,Female
NASAW00011716,5/27/2002,Male
NASAW00011717,4/22/1984,Male
NASAW00011718,8/11/1986,Female
NASAW00011719,4/28/1984,Male
NASAW00011720,1/21/1993,Female
NASAW00011721,6/3/1983,Female
NASAW00011722,11/2/1985,Male
NASAW00011723,9/17/1981,Male
NASAW00011724,3/20/1992,Male
NASAW00011725,8/20/1976,Male
NASAW00011726,5/31/1975,Male
NASAW00011727,11/5/2000,Male
NASAW00011728,7/21/2004,Male
NASAW00011729,12/31/1991,Male
NASAW00011730,8/25/1987,Female
NASAW00011731,3/11/1983,Female
NASAW00011732,4/6/2000,Male
NASAW00011733,5/20/1995,Female
NASAW00011734,6/13/1994,Male
NASAW00011735,2/15/1997,Female
NASAW00011736,12/29/1995,Male
NASAW00011737,9/4/1988,Female
NASAW00011738,6/19/1993,Male
NASAW00011739,7/31/1994,Male
NASAW00011740,12/23/2001,Female
NASAW00011741,9/21/1988,Female
NASAW00011742,11/16/1993,Male
NASAW00011743,12/14/1982,Male
NASAW00011744,2/17/1998,Female
NASAW00011745,9/26/1981,Female
NASAW00011746,7/11/2002,Male
NASAW00011747,12/18/1984,Female
NASAW00011748,7/19/1980,Male
NASAW00011749,11/19/2000,Male
NASAW00011750,8/17/1996,Female
NASAW00011751,7/6/1978,Female
NASAW00011752,11/28/1975,Female
NASAW00011753,6/2/1993,Female
NASAW00011754,7/24/1983,Female
NASAW00011755,5/19/2003,Male
NASAW00011756,3/24/2000,Female
NASAW00011757,5/4/1996,Male
NASAW00011758,6/10/1994,Male
NASAW00011759,6/7/1983,Female
NASAW00011760,10/27/1998,Female
NASAW00011761,6/29/1977,Male
NASAW00011762,11/16/1996,Male
NASAW00011763,8/20/1976,Male
NASAW00011764,11/17/1983,Female
NASAW00011765,2/25/2004,Male
NASAW00011766,3/10/1985,Female
NASAW00011767,11/19/1991,Female
NASAW00011768,7/6/1983,Male
NASAW00011769,11/22/1985,Female
NASAW00011770,12/17/1997,Male
NASAW00011771,12/15/1988,Male
NASAW00011772,12/3/1995,Male
NASAW00011773,4/4/2003,Male
NASAW00011774,10/12/1982,Female
NASAW00011775,4/26/1994,Female
